index,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Full_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Open_Porch_SF,Enclosed_Porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,y
116,Two_Story_1946_and_Newer,Residential_Low_Density,80,9600,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,Two_Story,Above_Average,Above_Average,1971,1971,Gable,Typical,Typical,CBlock,Typical,Typical,No,386,715,GasA,Typical,Y,SBrkr,930,715,1645,0,1,4,1,Typical,7,Typ,0,No_Fireplace,Attchd,2,441,Typical,Typical,Paved,78,0,0,0,No_Pool,Good_Wood,None,0,6,2010,WD ,Normal,C
2201,Two_Story_1945_and_Older,Residential_Low_Density,63,4000,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,Two_Story,Good,Very_Good,1930,1995,Gable,Typical,Typical,BrkTil,Good,Typical,No,285,531,GasA,Typical,Y,SBrkr,567,531,1098,1,1,2,1,Typical,5,Typ,1,Good,Detchd,1,216,Typical,Typical,Paved,0,0,0,0,No_Pool,Minimum_Privacy,None,0,6,2007,WD ,Normal,D
351,One_Story_PUD_1946_and_Newer,Residential_Low_Density,61,7380,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,One_Story,Very_Good,Average,1998,1998,Gable,Typical,Typical,PConc,Good,Typical,Av,1077,1418,GasA,Excellent,Y,SBrkr,1478,0,1478,1,2,2,1,Typical,5,Typ,0,No_Fireplace,Attchd,2,495,Typical,Typical,Paved,43,0,0,0,No_Pool,No_Fence,None,0,7,2009,WD ,Normal,B
2692,One_Story_1945_and_Older,Residential_Medium_Density,50,9000,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Average,Below_Average,1919,1950,Gable,Typical,Typical,BrkTil,Typical,Typical,No,610,610,GasA,Excellent,N,FuseA,819,0,819,0,1,2,1,Good,4,Typ,0,No_Fireplace,No_Garage,0,0,No_Garage,No_Garage,Dirt_Gravel,0,0,0,0,No_Pool,No_Fence,None,0,9,2006,WD ,Abnorml,E
1728,Two_Story_1946_and_Newer,Residential_Low_Density,65,10237,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,Two_Story,Above_Average,Average,2005,2006,Gable,Good,Typical,PConc,Good,Typical,No,768,768,GasA,Excellent,Y,SBrkr,768,768,1536,0,2,3,1,Good,6,Typ,1,Good,Attchd,2,400,Typical,Typical,Paved,38,0,0,0,No_Pool,No_Fence,None,0,6,2007,WD ,Normal,C
924,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,54,7681,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,One_and_Half_Fin,Average,Above_Average,1921,1950,Gable,Typical,Typical,BrkTil,Typical,Typical,No,731,731,GasA,Excellent,Y,SBrkr,820,523,1343,0,1,3,1,Typical,7,Typ,1,Good,Detchd,1,186,Fair,Typical,Paved,0,102,0,0,No_Pool,No_Fence,None,0,7,2009,WD ,Normal,D
1388,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,8544,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,One_Story,Average,Above_Average,1966,2006,Gable,Typical,Typical,CBlock,Typical,Typical,No,1228,1228,GasA,Good,Y,SBrkr,1228,0,1228,0,1,3,1,Good,6,Typ,0,No_Fireplace,Attchd,1,271,Typical,Typical,Paved,65,0,0,0,No_Pool,Minimum_Privacy,None,0,6,2008,WD ,Normal,D
1511,Split_or_Multilevel,Residential_Low_Density,62,7692,Pave,No_Alley_Access,Regular,Bnk,AllPub,OneFam,SLvl,Below_Average,Above_Average,1954,1954,Gable,Typical,Typical,CBlock,Excellent,Typical,Av,416,416,GasA,Good,Y,FuseA,1204,0,1204,0,1,3,1,Typical,6,Typ,0,No_Fireplace,Basment,1,312,Typical,Typical,Paved,0,0,0,0,No_Pool,No_Fence,None,0,11,2008,WD ,Abnorml,E
1452,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,60,7200,Pave,No_Alley_Access,Regular,Bnk,AllPub,OneFam,One_Story,Average,Good,1972,1972,Gable,Typical,Typical,CBlock,Typical,Typical,Av,148,780,GasA,Excellent,Y,SBrkr,780,0,780,0,1,2,1,Typical,4,Typ,0,No_Fireplace,Detchd,1,352,Typical,Typical,Paved,0,0,0,0,No_Pool,Minimum_Privacy,None,0,1,2008,WD ,Normal,D
2339,One_Story_PUD_1946_and_Newer,Residential_Low_Density,60,8147,Pave,No_Alley_Access,Regular,HLS,AllPub,TwnhsE,One_Story,Excellent,Average,2005,2005,Hip,Good,Typical,PConc,Excellent,Typical,Gd,523,1714,GasA,Excellent,Y,SBrkr,1714,0,1714,1,2,2,1,Good,7,Typ,1,Good,Attchd,2,517,Typical,Typical,Paved,55,0,0,0,No_Pool,No_Fence,None,0,8,2006,WD ,Normal,A
581,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,9156,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,One_Story,Above_Average,Good,1968,1968,Hip,Typical,Typical,CBlock,Typical,Typical,No,1489,1489,GasA,Good,Y,SBrkr,1489,0,1489,0,2,3,1,Good,7,Typ,1,Good,Attchd,2,462,Typical,Typical,Paved,0,0,0,0,No_Pool,No_Fence,None,0,8,2009,WD ,Normal,C
1198,Two_Story_1946_and_Newer,Residential_Low_Density,0,13355,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,Two_Story,Good,Above_Average,1971,1971,Gable,Typical,Typical,CBlock,Good,Good,No,242,825,GasA,Typical,Y,SBrkr,845,825,1670,0,1,4,1,Typical,7,Typ,0,No_Fireplace,Attchd,2,464,Typical,Typical,Paved,0,0,0,0,No_Pool,No_Fence,None,0,5,2008,WD ,Normal,C
468,One_Story_PUD_1946_and_Newer,Residential_Low_Density,53,3684,Pave,No_Alley_Access,Regular,Lvl,AllPub,TwnhsE,One_Story,Good,Average,2007,2007,Hip,Good,Typical,PConc,Good,Typical,No,1373,1373,GasA,Excellent,Y,SBrkr,1555,0,1555,0,2,2,1,Good,7,Typ,1,Typical,Attchd,3,660,Typical,Typical,Paved,20,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,C
1589,Duplex_All_Styles_and_Ages,Residential_Medium_Density,78,7060,Pave,No_Alley_Access,Regular,Lvl,AllPub,Duplex,SFoyer,Good,Average,1997,1998,Gable,Typical,Good,PConc,Good,Good,Gd,35,1344,GasA,Excellent,Y,SBrkr,1344,0,1344,2,2,2,2,Typical,8,Typ,0,No_Fireplace,Attchd,4,784,Typical,Typical,Paved,0,0,0,0,No_Pool,No_Fence,None,0,11,2008,WD ,Alloca,B
2292,Split_Foyer,Residential_Low_Density,72,9129,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,SFoyer,Average,Average,1977,1977,Gable,Typical,Typical,PConc,Good,Typical,Av,0,923,GasA,Typical,Y,SBrkr,1008,0,1008,1,1,1,1,Good,4,Typ,1,Fair,Attchd,2,678,Typical,Typical,Paved,66,0,0,0,No_Pool,Minimum_Privacy,None,0,7,2007,WD ,Normal,D
1665,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,63,9457,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Average,Above_Average,1970,1990,Gable,Typical,Typical,CBlock,Typical,Typical,No,359,925,GasA,Typical,Y,SBrkr,1422,0,1422,1,1,3,1,Typical,7,Min2,0,No_Fireplace,Detchd,2,576,Typical,Typical,Paved,0,0,0,0,No_Pool,Good_Wood,None,0,9,2007,WD ,Normal,D
2352,Split_Foyer,Residential_Low_Density,0,9927,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,SFoyer,Good,Average,1976,1976,Gable,Good,Typical,CBlock,Excellent,Typical,Gd,42,1047,GasA,Typical,Y,SBrkr,1083,0,1083,1,1,2,1,Typical,5,Typ,1,Fair,Attchd,2,596,Typical,Typical,Paved,0,40,0,0,No_Pool,No_Fence,None,0,7,2006,WD ,Normal,C
1159,One_Story_PUD_1946_and_Newer,Floating_Village_Residential,59,4282,Pave,Paved,Moderately_Irregular,Lvl,AllPub,TwnhsE,One_Story,Good,Average,2004,2004,Gable,Good,Typical,PConc,Good,Typical,Mn,1375,1391,GasA,Excellent,Y,SBrkr,1391,0,1391,0,2,2,1,Good,5,Typ,0,No_Fireplace,Attchd,2,530,Typical,Typical,Paved,158,0,0,0,No_Pool,No_Fence,None,0,7,2008,WD ,Normal,C
2343,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,0,13837,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,One_and_Half_Fin,Good,Average,1988,1988,Gable,Good,Good,PConc,Good,Good,No,0,1204,GasA,Good,Y,SBrkr,1377,806,2183,0,2,4,1,Good,9,Typ,0,No_Fireplace,Attchd,3,786,Typical,Typical,Paved,0,0,0,0,No_Pool,No_Fence,None,0,2,2006,WD ,Normal,B
72,Two_Story_1946_and_Newer,Residential_Low_Density,76,10142,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,Two_Story,Good,Average,2004,2004,Gable,Good,Typical,PConc,Good,Typical,No,300,956,GasA,Excellent,Y,SBrkr,956,1128,2084,1,2,4,1,Good,8,Typ,0,No_Fireplace,BuiltIn,2,618,Typical,Typical,Paved,45,0,0,0,No_Pool,No_Fence,None,0,1,2010,WD ,Normal,B
430,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,94,12220,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Very_Excellent,Average,2009,2009,Hip,Excellent,Typical,CBlock,Excellent,Typical,No,570,2006,GasA,Excellent,Y,SBrkr,2020,0,2020,1,2,3,1,Excellent,9,Typ,1,Good,Attchd,3,900,Typical,Typical,Paved,54,0,0,0,No_Pool,No_Fence,None,0,9,2009,New,Partial,A
2427,One_Story_PUD_1946_and_Newer,Residential_Low_Density,43,3013,Pave,No_Alley_Access,Regular,Lvl,AllPub,TwnhsE,One_Story,Good,Average,2005,2005,Gable,Good,Typical,PConc,Good,Typical,Gd,1346,1362,GasA,Excellent,Y,SBrkr,1506,0,1506,0,2,2,1,Good,6,Typ,1,Good,Attchd,2,440,Typical,Typical,Paved,20,0,0,0,No_Pool,No_Fence,None,0,4,2006,WD ,Normal,B
988,Two_Story_1946_and_Newer,Residential_Low_Density,70,10457,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,Two_Story,Average,Good,1969,1969,Gable,Good,Excellent,CBlock,Typical,Typical,Gd,0,784,GasA,Excellent,Y,SBrkr,784,848,1632,0,1,4,1,Typical,7,Typ,1,Typical,Attchd,2,898,Typical,Typical,Paved,173,368,0,0,No_Pool,Minimum_Privacy,None,0,4,2009,WD ,Normal,C
2823,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,75,8050,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Above_Average,Average,2002,2002,Gable,Typical,Typical,PConc,Good,Typical,Av,142,914,GasA,Excellent,Y,SBrkr,914,0,914,1,1,2,1,Good,4,Typ,0,No_Fireplace,No_Garage,0,0,No_Garage,No_Garage,Dirt_Gravel,0,0,0,0,No_Pool,No_Fence,None,0,4,2006,WD ,Normal,E
1715,One_Story_PUD_1946_and_Newer,Residential_Low_Density,61,7577,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,TwnhsE,One_Story,Above_Average,Average,2005,2006,Gable,Good,Typical,PConc,Good,Typical,Av,1342,1362,GasA,Excellent,Y,SBrkr,1362,0,1362,0,2,2,1,Good,6,Typ,1,Good,Attchd,2,460,Typical,Typical,Paved,28,0,0,0,No_Pool,No_Fence,None,0,6,2007,WD ,Normal,C
2338,Two_Family_conversion_All_Styles_and_Ages,Residential_Low_Density,100,34650,Pave,No_Alley_Access,Regular,Bnk,AllPub,TwoFmCon,One_Story,Average,Average,1955,1955,Hip,Typical,Typical,CBlock,Typical,Typical,Mn,0,1056,GasA,Typical,N,SBrkr,1056,0,1056,1,1,3,1,Typical,5,Typ,0,No_Fireplace,Attchd,2,572,Typical,Typical,Paved,0,0,0,0,No_Pool,No_Fence,None,0,1,2006,WD ,Normal,D
521,One_Story_1946_and_Newer_All_Styles,Floating_Village_Residential,85,9187,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Excellent,Average,2009,2009,Gable,Excellent,Typical,PConc,Excellent,Typical,Mn,645,1766,GasA,Excellent,Y,SBrkr,1766,0,1766,1,2,2,1,Excellent,7,Typ,1,Good,Attchd,3,478,Typical,Typical,Paved,130,0,0,0,No_Pool,No_Fence,None,0,10,2009,New,Partial,A
674,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,9000,Pave,No_Alley_Access,Slightly_Irregular,HLS,AllPub,OneFam,One_Story,Above_Average,Above_Average,1958,1958,Flat,Typical,Typical,CBlock,Good,Typical,Gd,160,160,GasA,Fair,Y,SBrkr,1142,0,1142,0,1,2,1,Typical,5,Typ,1,Good,Basment,1,384,Typical,Typical,Paved,28,64,0,0,No_Pool,No_Fence,None,0,4,2009,WD ,Normal,E
855,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,61,8800,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,One_Story,Average,Good,1977,2008,Gable,Typical,Typical,CBlock,Good,Typical,Mn,364,1040,GasA,Typical,Y,SBrkr,1040,0,1040,0,2,3,1,Good,5,Typ,0,No_Fireplace,Detchd,2,484,Typical,Typical,Paved,0,0,288,0,No_Pool,No_Fence,None,0,9,2009,WD ,Normal,D
1068,Two_Story_1946_and_Newer,Residential_Low_Density,112,16451,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,Two_Story,Very_Good,Average,2003,2003,Gable,Good,Typical,PConc,Excellent,Typical,Gd,1765,1765,GasA,Excellent,Y,SBrkr,1804,886,2690,0,2,4,1,Good,9,Typ,1,Good,BuiltIn,3,795,Typical,Typical,Paved,58,0,0,0,No_Pool,No_Fence,None,0,7,2008,WD ,Normal,A
1098,Two_and_Half_Story_All_Ages,Residential_Low_Density,84,9660,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,Two_and_Half_Unf,Very_Good,Average,1997,1997,Hip,Good,Typical,PConc,Good,Typical,No,1173,1173,GasA,Excellent,Y,SBrkr,1182,1017,2199,0,2,3,1,Good,9,Typ,1,Typical,Attchd,2,516,Typical,Typical,Paved,131,0,0,0,No_Pool,No_Fence,None,0,9,2008,WD ,Normal,A
2297,Split_Foyer,Residential_Low_Density,54,7244,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,SFoyer,Average,Good,1970,1970,Gable,Typical,Good,CBlock,Good,Typical,Av,149,768,GasA,Excellent,Y,SBrkr,768,0,768,1,1,2,1,Typical,5,Typ,0,No_Fireplace,Detchd,2,624,Typical,Typical,Paved,0,0,0,0,No_Pool,No_Fence,None,0,4,2007,WD ,Normal,D
588,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,75,9000,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Above_Average,Average,1969,1969,Gable,Typical,Typical,CBlock,Typical,Typical,Av,261,1216,GasA,Typical,Y,SBrkr,1216,0,1216,1,1,3,1,Typical,5,Typ,0,No_Fireplace,Attchd,1,336,Typical,Typical,Paved,0,0,0,0,No_Pool,Minimum_Privacy,None,0,8,2009,WD ,Abnorml,E
2861,One_Story_1945_and_Older,Residential_Low_Density,80,11600,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Below_Average,Average,1922,1950,Gable,Typical,Typical,BrkTil,Fair,Typical,No,700,700,GasA,Excellent,Y,SBrkr,1180,0,1180,0,1,2,1,Fair,5,Typ,1,Good,Detchd,1,252,Typical,Fair,Paved,0,67,0,0,No_Pool,No_Fence,None,0,7,2006,WD ,Normal,D
1555,Two_Story_1945_and_Older,C_all,50,8500,Pave,Paved,Regular,Lvl,AllPub,OneFam,Two_Story,Below_Average,Below_Average,1920,1950,Gambrel,Typical,Fair,BrkTil,Typical,Typical,No,649,649,GasA,Typical,N,SBrkr,649,668,1317,0,1,3,1,Typical,6,Typ,0,No_Fireplace,Detchd,1,250,Typical,Fair,Dirt_Gravel,54,172,0,0,No_Pool,Minimum_Privacy,None,0,7,2008,WD ,Normal,E
1479,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,74,9627,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Good,Average,2007,2007,Gable,Good,Typical,PConc,Good,Typical,Av,1327,1351,GasA,Excellent,Y,SBrkr,1361,0,1361,0,2,3,1,Good,6,Typ,0,No_Fireplace,Attchd,2,610,Typical,Typical,Paved,50,0,0,0,No_Pool,No_Fence,None,0,6,2008,WD ,Normal,C
2810,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,84,10084,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Good,Average,2005,2006,Gable,Good,Typical,PConc,Good,Typical,Av,1528,1552,GasA,Excellent,Y,SBrkr,1552,0,1552,0,2,3,1,Good,7,Typ,0,No_Fireplace,Attchd,3,782,Typical,Typical,Paved,20,0,0,0,No_Pool,No_Fence,None,0,7,2006,New,Partial,B
1721,One_Story_PUD_1946_and_Newer,Residential_Low_Density,44,6442,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,TwnhsE,One_Story,Very_Good,Average,2006,2006,Gable,Good,Typical,PConc,Good,Good,Mn,1346,1370,GasA,Excellent,Y,SBrkr,1370,0,1370,0,2,2,1,Good,6,Typ,1,Good,Attchd,2,484,Typical,Typical,Paved,49,0,0,0,No_Pool,No_Fence,None,0,10,2007,WD ,Normal,B
283,Two_Family_conversion_All_Styles_and_Ages,Residential_Low_Density,60,12180,Pave,No_Alley_Access,Regular,Lvl,AllPub,TwoFmCon,One_and_Half_Fin,Below_Average,Below_Average,1941,1950,Gable,Typical,Fair,BrkTil,Good,Typical,No,324,672,Grav,Fair,N,FuseA,672,252,924,1,1,2,1,Fair,5,Typ,0,No_Fireplace,Detchd,1,280,Typical,Typical,Paved,0,0,0,0,No_Pool,Minimum_Privacy,None,0,7,2010,WD ,Normal,E
698,Two_Story_1945_and_Older,Residential_Medium_Density,57,6406,Pave,Gravel,Regular,Lvl,AllPub,OneFam,Two_Story,Average,Above_Average,1939,1950,Gable,Typical,Typical,BrkTil,Typical,Typical,No,269,690,GasA,Typical,Y,FuseA,868,690,1558,0,1,3,1,Typical,7,Typ,1,Good,Detchd,2,400,Typical,Typical,Paved,36,0,182,0,No_Pool,Minimum_Privacy,None,0,10,2009,WD ,Normal,D
1837,One_Story_PUD_1946_and_Newer,Floating_Village_Residential,47,4230,Pave,Paved,Regular,Lvl,AllPub,TwnhsE,One_Story,Good,Average,2006,2007,Gable,Good,Typical,PConc,Excellent,Good,No,1352,1352,GasA,Excellent,Y,SBrkr,1352,0,1352,0,2,2,1,Good,5,Typ,1,Good,Attchd,2,466,Typical,Typical,Paved,241,0,0,0,No_Pool,No_Fence,None,0,4,2007,New,Partial,B
2285,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1504,Pave,No_Alley_Access,Regular,Lvl,AllPub,Twnhs,Two_Story,Below_Average,Below_Average,1972,1972,Gable,Typical,Typical,CBlock,Typical,Typical,No,294,546,GasA,Typical,Y,SBrkr,546,546,1092,0,1,3,1,Typical,5,Typ,0,No_Fireplace,Attchd,1,253,Typical,Typical,Paved,0,0,0,0,No_Pool,No_Fence,None,0,5,2007,WD ,Normal,E
1546,One_Story_1945_and_Older,Residential_Medium_Density,40,3636,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Below_Average,Below_Average,1922,1950,Gable,Typical,Typical,BrkTil,Typical,Fair,No,796,796,GasA,Fair,N,SBrkr,796,0,796,0,1,2,1,Typical,5,Typ,0,No_Fireplace,No_Garage,0,0,No_Garage,No_Garage,Dirt_Gravel,0,100,0,0,No_Pool,Minimum_Privacy,None,0,1,2008,WD ,Normal,E
1029,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,10400,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Above_Average,Average,1976,1976,Gable,Typical,Typical,CBlock,Typical,Typical,No,1444,1444,GasA,Typical,Y,SBrkr,1444,0,1444,0,2,2,1,Typical,5,Typ,1,Good,Attchd,2,473,Typical,Typical,Paved,24,0,0,0,No_Pool,Good_Wood,None,0,4,2008,WD ,Normal,D
2773,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,9100,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Good,Average,2000,2000,Gable,Good,Typical,PConc,Good,Typical,Av,125,1525,GasA,Excellent,Y,SBrkr,1525,0,1525,1,2,3,1,Good,6,Typ,0,No_Fireplace,Attchd,2,541,Typical,Typical,Paved,36,0,0,0,No_Pool,No_Fence,None,0,9,2006,WD ,Normal,B
1628,Split_or_Multilevel,Residential_Low_Density,0,9125,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,SLvl,Good,Average,1992,1992,Gable,Typical,Typical,PConc,Good,Typical,No,384,384,GasA,Good,Y,SBrkr,812,670,1482,0,2,3,1,Good,7,Typ,1,Typical,Attchd,2,392,Typical,Typical,Paved,25,0,0,0,No_Pool,No_Fence,None,0,7,2007,WD ,Normal,C
